seed,n,method,true_return,predicted_return,pred_true_gap,ood,selection_bias,candidate_true_mean,candidate_pred_mean,candidate_diversity,selected_mode_entropy
0,16,first_candidate,-61.28731918334961,23.830432891845703,85.11775207519531,251.05172729492188,0.4074687957763672,-63.70439910888672,23.422964096069336,0.9626945462077856,0.9971803988942642
0,16,proxy_tail,-90.4898452758789,42.58188629150391,133.0717315673828,306.01007080078125,19.15892219543457,-63.70439910888672,23.422964096069336,0.9626945462077856,1.0
0,16,calibrated_tail,-40.16089630126953,25.617197036743164,65.77809143066406,148.07752990722656,2.194232940673828,-63.70439910888672,23.422964096069336,0.9626945462077856,0.9971803988942642
1,16,first_candidate,-70.31495666503906,29.115854263305664,99.43081665039062,281.0111389160156,2.074892044067383,-70.55287170410156,27.04096221923828,0.99844503775239,0.9744894033980523
1,16,proxy_tail,-100.98493194580078,47.846153259277344,148.83108520507812,345.30572509765625,20.805191040039062,-70.55287170410156,27.04096221923828,0.99844503775239,0.9283620723948676
1,16,calibrated_tail,-39.97728729248047,25.963790893554688,65.94107055664062,160.47682189941406,-1.0771713256835938,-70.55287170410156,27.04096221923828,0.99844503775239,0.9744894033980523
2,16,first_candidate,-64.4332046508789,22.760364532470703,87.19357299804688,268.8312072753906,-1.5160636901855469,-67.08171844482422,24.27642822265625,0.9738538358360528,0.9886994082884974
2,16,proxy_tail,-99.81852722167967,43.54107284545898,143.35960388183594,345.83404541015625,19.26464462280273,-67.08171844482422,24.27642822265625,0.9738538358360528,0.9744894033980523
2,16,calibrated_tail,-42.12837219238281,26.48564720153809,68.614013671875,159.70054626464844,2.209218978881836,-67.08171844482422,24.27642822265625,0.9738538358360528,0.9971803988942642
3,16,first_candidate,-59.18299865722656,22.00611114501953,81.1891098022461,254.41482543945312,-3.889667510986328,-60.94694900512695,25.89577865600586,0.9652798343449832,0.9886994082884974
3,16,proxy_tail,-90.39173126220705,49.62546157836914,140.01719665527344,292.4429016113281,23.72968292236328,-60.94694900512695,25.89577865600586,0.9652798343449832,0.9744894033980523
3,16,calibrated_tail,-44.61006164550781,33.089881896972656,77.699951171875,154.81939697265625,7.194103240966797,-60.94694900512695,25.89577865600586,0.9652798343449832,0.9971803988942642
4,16,first_candidate,-64.92626190185547,26.541126251220703,91.46739196777344,263.6424255371094,2.444618225097656,-62.801536560058594,24.096508026123047,0.9724232275038958,0.9971803988942642
4,16,proxy_tail,-96.70556640625,46.29819107055664,143.00375366210938,315.9965209960937,22.201683044433597,-62.801536560058594,24.096508026123047,0.9724232275038958,0.9283620723948676
4,16,calibrated_tail,-40.97566223144531,26.704364776611328,67.68002319335938,155.33563232421875,2.607856750488281,-62.801536560058594,24.096508026123047,0.9724232275038958,0.8960382325345574
