step,loss
0,1.2142552137374878
1,1.272725224494934
2,1.2230110168457031
3,1.2282990217208862
4,1.1942521333694458
5,1.2010388374328613
6,1.2139863967895508
7,1.2268905639648438
8,1.1781258583068848
9,1.1843587160110474
10,1.1812660694122314
11,1.1853678226470947
12,1.1437252759933472
13,1.1909987926483154
14,1.1232131719589233
15,1.0856460332870483
16,1.1027988195419312
17,1.1652284860610962
18,1.1083574295043945
19,1.0772517919540405
20,1.0989724397659302
21,1.0987170934677124
22,1.0589780807495117
23,1.0508601665496826
24,1.0612640380859375
25,1.054925560951233
26,1.0534849166870117
27,1.0386285781860352
28,1.0452830791473389
29,1.0465216636657715
30,1.1101949214935303
31,1.030739426612854
32,1.0071641206741333
33,1.0177079439163208
34,1.0166658163070679
35,1.0213570594787598
36,1.009230136871338
37,0.9957997798919678
38,1.0174713134765625
39,1.0223429203033447
40,1.008294939994812
41,1.0068535804748535
42,0.978858470916748
43,0.9751906394958496
44,0.9656567573547363
45,0.9718456864356995
46,0.9595763683319092
47,0.967104971408844
48,0.9819790720939636
49,0.984793484210968
50,0.9234573245048523
51,0.8976058959960938
52,0.922840416431427
53,0.9179495573043823
54,0.9435364007949829
55,0.928532063961029
56,0.8989250063896179
57,0.8784849643707275
58,0.9359809160232544
59,0.8831354975700378
60,0.8881514072418213
61,0.8735272884368896
62,0.9011070132255554
63,0.8810104131698608
64,0.840707540512085
65,0.8561176061630249
66,0.8857588768005371
67,0.8526691198348999
68,0.832057535648346
69,0.8539831638336182
70,0.8859192728996277
71,0.8375840187072754
72,0.8188010454177856
73,0.8041256666183472
74,0.8451721668243408
75,0.7897523045539856
76,0.8288534879684448
77,0.833000659942627
78,0.751101553440094
79,0.7875781059265137
80,0.7985947132110596
81,0.7615988254547119
82,0.7449919581413269
83,0.7975258827209473
84,0.8055154085159302
85,0.791245698928833
86,0.8389304280281067
87,0.7553048133850098
88,0.7839558124542236
89,0.7458716630935669
90,0.7313969135284424
91,0.7122588157653809
92,0.7108852863311768
93,0.7015265226364136
94,0.7390135526657104
95,0.7437847256660461
96,0.6669089794158936
97,0.7362955808639526
98,0.6961141228675842
99,0.7246930599212646
