n,method,true_return,predicted_return,pred_true_gap,ood,selection_bias,candidate_true_mean,candidate_pred_mean,candidate_diversity,selected_mode_entropy
1,first_candidate,-64.4332046508789,22.760364532470703,87.19357299804688,268.8312072753906,0.0,-64.4332046508789,22.760364532470703,0.0,0.9886994082884974
1,proxy_tail,-64.4332046508789,22.760364532470703,87.19357299804688,268.8312072753906,0.0,-64.4332046508789,22.760364532470703,0.0,0.9886994082884974
1,calibrated_tail,-64.4332046508789,22.760364532470703,87.19357299804688,268.8312072753906,0.0,-64.4332046508789,22.760364532470703,0.0,0.9886994082884974
2,first_candidate,-64.4332046508789,22.760364532470703,87.19357299804688,268.8312072753906,-0.032989501953125,-62.347801208496094,22.793354034423828,0.953387638553977,0.9886994082884974
2,proxy_tail,-72.34138488769531,27.66357421875,100.00495910644531,290.7458190917969,4.870220184326172,-62.347801208496094,22.793354034423828,0.953387638553977,0.9744894033980523
2,calibrated_tail,-50.8411865234375,22.194854736328125,73.03604125976562,211.9078369140625,-0.5984992980957031,-62.347801208496094,22.793354034423828,0.953387638553977,0.9971803988942642
4,first_candidate,-64.4332046508789,22.760364532470703,87.19357299804688,268.8312072753906,-1.2646427154541016,-65.2302017211914,24.025007247924805,0.9622377958148718,0.9886994082884974
4,proxy_tail,-81.06049346923828,34.52843475341797,115.58892822265625,305.96044921875,10.503427505493164,-65.2302017211914,24.025007247924805,0.9622377958148718,0.9744894033980523
4,calibrated_tail,-45.246131896972656,22.936931610107422,68.18305969238281,184.95843505859375,-1.0880756378173828,-65.2302017211914,24.025007247924805,0.9622377958148718,0.9744894033980523
8,first_candidate,-64.4332046508789,22.760364532470703,87.19357299804688,268.8312072753906,-1.4701728820800781,-67.37963104248047,24.23053741455078,0.9796932153403759,0.9886994082884974
8,proxy_tail,-88.20333862304688,40.15497589111328,128.35830688476562,312.6002197265625,15.9244384765625,-67.37963104248047,24.23053741455078,0.9796932153403759,0.9283620723948676
8,calibrated_tail,-43.88840866088867,25.69992446899414,69.58833312988281,170.45022583007812,1.4693870544433594,-67.37963104248047,24.23053741455078,0.9796932153403759,0.8960382325345574
16,first_candidate,-64.4332046508789,22.760364532470703,87.19357299804688,268.8312072753906,-1.5160636901855469,-67.08171844482422,24.27642822265625,0.9738538358360529,0.9886994082884974
16,proxy_tail,-99.81852722167969,43.541072845458984,143.35960388183594,345.83404541015625,19.264644622802734,-67.08171844482422,24.27642822265625,0.9738538358360529,0.9744894033980523
16,calibrated_tail,-42.12837219238281,26.485647201538086,68.614013671875,159.70054626464844,2.209218978881836,-67.08171844482422,24.27642822265625,0.9738538358360529,0.9971803988942642
