benchmark,seed,context_id,n,method,true_return,proxy_score,pred_true_gap,ood,flow_residual,selected_action_mean,selected_action_energy
CartPole-v1,70,0,1,first_candidate,16.91864013671875,56.926063537597656,40.007423400878906,6.491870880126953,0.0073326462879776955,-0.28186577558517456,1.1237791776657104
CartPole-v1,70,0,1,proxy_tail,16.91864013671875,56.926063537597656,40.007423400878906,6.491870880126953,0.0073326462879776955,-0.28186577558517456,1.1237791776657104
CartPole-v1,70,0,1,feature_calibrated_tail,16.91864013671875,56.926063537597656,40.007423400878906,6.491870880126953,0.0073326462879776955,-0.28186577558517456,1.1237791776657104
CartPole-v1,70,0,1,flow_residual_tail,16.91864013671875,56.926063537597656,40.007423400878906,6.491870880126953,0.0073326462879776955,-0.28186577558517456,1.1237791776657104
CartPole-v1,70,0,1,oracle_tail,16.91864013671875,56.926063537597656,40.007423400878906,6.491870880126953,0.0073326462879776955,-0.28186577558517456,1.1237791776657104
CartPole-v1,70,0,2,first_candidate,16.91864013671875,56.926063537597656,40.007423400878906,6.491870880126953,0.0073326462879776955,-0.28186577558517456,1.1237791776657104
CartPole-v1,70,0,2,proxy_tail,16.91864013671875,56.926063537597656,40.007423400878906,6.491870880126953,0.0073326462879776955,-0.28186577558517456,1.1237791776657104
CartPole-v1,70,0,2,feature_calibrated_tail,25.265350341796875,46.62614440917969,21.360794067382812,3.1136410236358643,0.01545400358736515,-0.038994722068309784,1.0771183967590332
CartPole-v1,70,0,2,flow_residual_tail,16.91864013671875,56.926063537597656,40.007423400878906,6.491870880126953,0.0073326462879776955,-0.28186577558517456,1.1237791776657104
CartPole-v1,70,0,2,oracle_tail,25.265350341796875,46.62614440917969,21.360794067382812,3.1136410236358643,0.01545400358736515,-0.038994722068309784,1.0771183967590332
CartPole-v1,70,0,4,first_candidate,16.91864013671875,56.926063537597656,40.007423400878906,6.491870880126953,0.0073326462879776955,-0.28186577558517456,1.1237791776657104
CartPole-v1,70,0,4,proxy_tail,18.623943328857422,65.21814727783203,46.59420394897461,11.077741622924805,0.009955395013093948,0.45570725202560425,1.1112914085388184
CartPole-v1,70,0,4,feature_calibrated_tail,17.74528694152832,51.352294921875,33.60700988769531,3.778554916381836,0.012046619318425655,0.16134920716285706,1.188421368598938
CartPole-v1,70,0,4,flow_residual_tail,18.623943328857422,65.21814727783203,46.59420394897461,11.077741622924805,0.009955395013093948,0.45570725202560425,1.1112914085388184
CartPole-v1,70,0,4,oracle_tail,25.265350341796875,46.62614440917969,21.360794067382812,3.1136410236358643,0.01545400358736515,-0.038994722068309784,1.0771183967590332
CartPole-v1,70,0,8,first_candidate,16.91864013671875,56.926063537597656,40.007423400878906,6.491870880126953,0.0073326462879776955,-0.28186577558517456,1.1237791776657104
CartPole-v1,70,0,8,proxy_tail,18.623943328857422,65.21814727783203,46.59420394897461,11.077741622924805,0.009955395013093948,0.45570725202560425,1.1112914085388184
CartPole-v1,70,0,8,feature_calibrated_tail,22.81633186340332,43.57189178466797,20.75555992126465,1.9088307619094849,0.019686715677380562,-0.020352449268102646,1.1321680545806885
