n,method,true_return,predicted_return,pred_true_gap,ood,selection_bias,candidate_true_mean,candidate_pred_mean,candidate_diversity,selected_mode_entropy
1,first_candidate,-59.18299865722656,22.00611114501953,81.1891098022461,254.41482543945312,0.0,-59.18299865722656,22.00611114501953,0.0,0.9886994082884974
1,proxy_tail,-59.18299865722656,22.00611114501953,81.1891098022461,254.41482543945312,0.0,-59.18299865722656,22.00611114501953,0.0,0.9886994082884974
1,calibrated_tail,-59.18299865722656,22.00611114501953,81.1891098022461,254.41482543945312,0.0,-59.18299865722656,22.00611114501953,0.0,0.9886994082884974
2,first_candidate,-59.18299865722656,22.00611114501953,81.1891098022461,254.41482543945312,-1.261800765991211,-58.417057037353516,23.267911911010742,0.930580485612154,0.9886994082884974
2,proxy_tail,-66.33628845214844,28.931110382080078,95.26739501953125,268.6556396484375,5.663198471069336,-58.417057037353516,23.267911911010742,0.930580485612154,0.954434002924965
2,calibrated_tail,-47.433509826660156,21.944055557250977,69.3775634765625,202.312744140625,-1.3238563537597656,-58.417057037353516,23.267911911010742,0.930580485612154,1.0
4,first_candidate,-59.18299865722656,22.00611114501953,81.1891098022461,254.41482543945312,-3.9772720336914062,-62.076866149902344,25.983383178710938,0.9650593660771847,0.9886994082884974
4,proxy_tail,-84.60772705078125,39.0528564453125,123.66057586669922,312.3307800292969,13.069473266601562,-62.076866149902344,25.983383178710938,0.9650593660771847,1.0
4,calibrated_tail,-45.34305191040039,26.907915115356445,72.25096893310547,177.00906372070312,0.9245319366455078,-62.076866149902344,25.983383178710938,0.9650593660771847,1.0
8,first_candidate,-59.18299865722656,22.00611114501953,81.1891098022461,254.41482543945312,-4.360769271850586,-62.15095520019531,26.366880416870117,0.9742851722985506,0.9886994082884974
8,proxy_tail,-86.25965881347656,45.42830276489258,131.68795776367188,294.1149597167969,19.06142234802246,-62.15095520019531,26.366880416870117,0.9742851722985506,1.0
8,calibrated_tail,-43.82210922241211,29.668033599853516,73.49014282226562,160.4923095703125,3.3011531829833984,-62.15095520019531,26.366880416870117,0.9742851722985506,0.9886994082884974
16,first_candidate,-59.18299865722656,22.00611114501953,81.1891098022461,254.41482543945312,-3.889667510986328,-60.94694900512695,25.89577865600586,0.9652798343449831,0.9886994082884974
16,proxy_tail,-90.39173126220703,49.62546157836914,140.01719665527344,292.4429016113281,23.72968292236328,-60.94694900512695,25.89577865600586,0.9652798343449831,0.9744894033980523
16,calibrated_tail,-44.61006164550781,33.089881896972656,77.699951171875,154.81939697265625,7.194103240966797,-60.94694900512695,25.89577865600586,0.9652798343449831,0.9971803988942642
