n,method,true_return,predicted_return,pred_true_gap,ood,selection_bias,candidate_true_mean,candidate_pred_mean,candidate_diversity,selected_mode_entropy
1,random,-61.28731918334961,23.830432891845703,85.11775207519531,251.05172729492188,0.0,-61.28731918334961,23.830432891845703,0.0,0.9971803988942642
1,bon_proxy,-61.28731918334961,23.830432891845703,85.11775207519531,251.05172729492188,0.0,-61.28731918334961,23.830432891845703,0.0,0.9971803988942642
1,bon_uncertainty,-61.28731918334961,23.830432891845703,85.11775207519531,251.05172729492188,0.0,-61.28731918334961,23.830432891845703,0.0,0.9971803988942642
2,random,-61.28731918334961,23.830432891845703,85.11775207519531,251.05172729492188,1.1029491424560547,-64.10052490234375,22.72748374938965,0.9365072809159756,0.9971803988942642
2,bon_proxy,-71.00994110107422,27.732133865356445,98.74208068847656,284.44256591796875,5.004650115966797,-64.10052490234375,22.72748374938965,0.9365072809159756,0.9971803988942642
2,bon_uncertainty,-55.30449295043945,23.188840866088867,78.49333190917969,226.7054443359375,0.46135711669921875,-64.10052490234375,22.72748374938965,0.9365072809159756,0.9744894033980523
4,random,-61.28731918334961,23.830432891845703,85.11775207519531,251.05172729492188,0.6208133697509766,-64.11998748779297,23.209619522094727,0.9839265160262585,0.9971803988942642
4,bon_proxy,-78.16278839111328,32.89194107055664,111.05472564697266,297.76617431640625,9.682321548461914,-64.11998748779297,23.209619522094727,0.9839265160262585,0.9283620723948676
4,bon_uncertainty,-46.04735565185547,22.71643829345703,68.7637939453125,189.66806030273438,-0.4931812286376953,-64.11998748779297,23.209619522094727,0.9839265160262585,0.9971803988942642
8,random,-61.28731918334961,23.830432891845703,85.11775207519531,251.05172729492188,0.24614715576171875,-65.2394027709961,23.584285736083984,0.9765724427998066,0.9971803988942642
8,bon_proxy,-87.27184295654297,39.33098220825195,126.60282135009766,307.9383239746094,15.746696472167969,-65.2394027709961,23.584285736083984,0.9765724427998066,0.9971803988942642
8,bon_uncertainty,-46.40742874145508,27.23635482788086,73.64378356933594,176.70260620117188,3.652069091796875,-65.2394027709961,23.584285736083984,0.9765724427998066,0.9971803988942642
16,random,-61.28731918334961,23.830432891845703,85.11775207519531,251.05172729492188,0.4074687957763672,-63.70439910888672,23.422964096069336,0.9626945462077856,0.9971803988942642
16,bon_proxy,-90.4898452758789,42.581886291503906,133.0717315673828,306.01007080078125,19.15892219543457,-63.70439910888672,23.422964096069336,0.9626945462077856,1.0
16,bon_uncertainty,-40.16089630126953,25.617197036743164,65.77809143066406,148.07752990722656,2.194232940673828,-63.70439910888672,23.422964096069336,0.9626945462077856,0.9971803988942642
